system,lane_id,lane_name,status,classification,branch,purpose,commands_recorded,configs,scripts,docs,output_dir,key_outputs,key_findings,accepted_conclusion,caveats,forbidden_claims,next_action,reentry_command
System B,B8.6g/B8.6g2/B8.6g3,true-vector / source review,B86G3_SOURCE_REVIEW_PASS + needs external vector source,DIAGNOSTIC_SOURCE_GATE,codex/b86g3-true-vector-source-review,"Acquire compact/vector features, retest, and review true-vector source gaps before N300 execution.",python scripts/v12_b86g_run_feature_acquisition.py --config configs/v12/systemb_b86g_feature_acquisition.yaml; python scripts/v12_b86g2_run_feature_retest.py --config configs/v12/systemb_b86g2_feature_retest.yaml; python scripts/v12_b86g3_run_true_vector_source_review.py --config configs/v12/systemb_b86g3_true_vector_source_review.yaml,configs/v12/systemb_b86g_feature_acquisition.yaml; configs/v12/systemb_b86g2_feature_retest.yaml; configs/v12/systemb_b86g3_true_vector_source_review.yaml,scripts/v12_b86g3_run_true_vector_source_review.py,docs/v12/OpenHeat_SystemB_B8_6g_feature_acquisition_CN.md; docs/v12/OpenHeat_SystemB_B8_6g2_feature_retest_CN.md; docs/v12/OpenHeat_SystemB_B8_6g3_true_vector_source_review_CN.md,outputs/v12_surrogate/b8_6g3_true_vector_source_review,outputs/v12_surrogate/b8_6g_feature_acquisition/B8_6G_STATUS.md; outputs/v12_surrogate/b8_6g2_feature_retest/B8_6G2_STATUS.md; outputs/v12_surrogate/b8_6g3_true_vector_source_review/B8_6G3_STATUS.md,Connected shade corridor missing explicit source.; Tree/building true-vector source incomplete.; B8.7b precheck may proceed but AOI/B9 remains blocked.,Precheck can proceed; external vector acquisition remains required before AOI/B9.,Source-review/design-gate only.; No execution artifact.,AOI/B9; observed truth; causal feature importance,B8.7b precheck plus external/vector acquisition before AOI/B9.,python scripts/v12_b86g3_run_true_vector_source_review.py --config configs/v12/systemb_b86g3_true_vector_source_review.yaml
System B,B8.7,N300 predesign,B87_N300_DESIGN_NEEDS_QA,DIAGNOSTIC_DESIGN,codex/b87-n300-pre-source-review,Freeze/review N300 candidate design and source gaps.,python scripts/v12_b87_run_n300_pre.py --config configs/v12/systemb_b87_n300_pre.yaml,configs/v12/systemb_b87_n300_pre.yaml,scripts/v12_b87_run_n300_pre.py,docs/v12/OpenHeat_SystemB_B8_7_N300_PRE_CN.md,outputs/v12_surrogate/b8_7_n300_pre,outputs/v12_surrogate/b8_7_n300_pre/B8_7_STATUS.md; outputs/v12_surrogate/b8_7_n300_pre/b87_report.md,N300 candidate count 150 with 0 N150 overlap.; Connected shade corridor source unavailable.; AOI/B9 blocked.,Proceed to QA patch and source review; not execution yet.,Design/source review only.,N300 execution manifest; AOI/B9; WBGT/risk,Manual N300 QA then B8.7a/B8.6g3/B8.7b.,python scripts/v12_b87_run_n300_pre.py --config configs/v12/systemb_b87_n300_pre.yaml
System B,B8.7a,design QA patch,B87A_PATCHED_DESIGN_READY_FOR_REVIEW,DIAGNOSTIC_DESIGN,codex/b87a-n300-design-qa-patch,Patch N300 candidate design QA before execution precheck.,python scripts/v12_b87a_run_design_qa_patch.py --config configs/v12/systemb_b87a_n300_design_qa_patch.yaml,configs/v12/systemb_b87a_n300_design_qa_patch.yaml,scripts/v12_b87a_run_design_qa_patch.py,docs/v12/OpenHeat_SystemB_B8_7a_N300_design_QA_patch_CN.md,outputs/v12_surrogate/b8_7a_n300_design_qa_patch,outputs/v12_surrogate/b8_7a_n300_design_qa_patch/B8_7A_STATUS.md,N150 overlap count 0.; Manual source review blockers carried.,Patched design ready for review; no execution authorization by itself.,AUTO_ONLY when manual input missing.,SOLWEIG execution; AOI/B9; WBGT/risk,B8.7b precheck after review.,python scripts/v12_b87a_run_design_qa_patch.py --config configs/v12/systemb_b87a_n300_design_qa_patch.yaml
System B,B8.7b,execution precheck,B87B_PRECHECK_NEEDS_LOCAL_ASSET_REMAP,BLOCKED_PRECHECK,not recorded,Preview N300 additional runs and block execution until local asset remap.,python scripts/v12_b87b_run_execution_precheck.py --config configs/v12/systemb_b87b_n300_execution_precheck.yaml,configs/v12/systemb_b87b_n300_execution_precheck.yaml,scripts/v12_b87b_run_execution_precheck.py; scripts/v12_b87b_precheck_decision.py,docs/v12/OpenHeat_SystemB_B8_7b_N300_execution_precheck_CN.md,outputs/v12_surrogate/b8_7b_n300_execution_precheck,outputs/v12_surrogate/b8_7b_n300_execution_precheck/B8_7B_STATUS.md; outputs/v12_surrogate/b8_7b_n300_execution_precheck/b87b_blocker_register.csv,Additional run count 3000.; Needs local asset remap.; AOI/B9 blocked.,Precheck only; no run-ready manifest.,No QGIS/SOLWEIG execution.; No runner.,AOI/B9; WBGT/risk; run-ready execution manifest,B8.7b.1 local asset remap.,python scripts/v12_b87b_run_execution_precheck.py --config configs/v12/systemb_b87b_n300_execution_precheck.yaml
System B,B8.7b.1,local asset remap,B87B1_WAITING_LOCAL_ROOTS,BLOCKED_PRECHECK,not recorded,Check local asset readiness and path remap without touching rasters.,python scripts/v12_b87b1_run_local_asset_remap.py --config configs/v12/systemb_b87b1_local_asset_remap.yaml,configs/v12/systemb_b87b1_local_asset_remap.yaml,scripts/v12_b87b1_run_local_asset_remap.py,docs/v12/OpenHeat_SystemB_B8_7b1_local_asset_remap_CN.md,outputs/v12_surrogate/b8_7b1_local_asset_remap,outputs/v12_surrogate/b8_7b1_local_asset_remap/B8_7B1_STATUS.md; outputs/v12_surrogate/b8_7b1_local_asset_remap/b87b1_missing_asset_register.csv,Waiting local roots.; No raster touch audit pass.,Metadata-only lane remained blocked pending local roots.,No manifest or runner.,QGIS/SOLWEIG run; AOI/B9; WBGT/risk,B8.7b.2 local asset fix/cross-worktree discovery.,python scripts/v12_b87b1_run_local_asset_remap.py --config configs/v12/systemb_b87b1_local_asset_remap.yaml
System B,B8.7b.2,cross-worktree / full-raster locator,B87B2_BLOCKED_NO_ASSETS_FOUND,BLOCKED_PRECHECK,not recorded,Search configured worktrees for missing N300 assets without reading/copying rasters.,python scripts/v12_b87b2_run_cross_worktree_asset_discovery.py --config configs/v12/systemb_b87b2_cross_worktree_asset_discovery.yaml,configs/v12/systemb_b87b2_cross_worktree_asset_discovery.yaml,scripts/v12_b87b2_run_cross_worktree_asset_discovery.py,docs/v12/OpenHeat_SystemB_B8_7b2_cross_worktree_asset_discovery_CN.md,outputs/v12_surrogate/b8_7b2_cross_worktree_asset_discovery,outputs/v12_surrogate/b8_7b2_cross_worktree_asset_discovery/B8_7B2_STATUS.md; outputs/v12_surrogate/b8_7b2_cross_worktree_asset_discovery/b87b2_b87c_readiness_matrix.csv,No assets found for minimal SVF/DSM.; Metadata-only no-raster-touch audit pass.,Proceed to source lock / materialization preplan rather than pretending assets exist.,No raster read/write/copy/open.,asset ready; AOI/B9; WBGT/risk,B8.7b.3 source lock / SVF scenario model.,python scripts/v12_b87b2_run_cross_worktree_asset_discovery.py --config configs/v12/systemb_b87b2_cross_worktree_asset_discovery.yaml
System B,B8.7b.3,source lock / SVF scenario model,B87B3_SOURCE_LOCK_READY_FOR_MATERIALIZATION,ACCEPTED_SOURCE_LOCK,codex/b87b3-source-lock-svf-scenario-preplan,Lock canonical DSM/CDSM/grid/SVF source lineage and define materialization preplan.,python scripts/v12_b87b3_run_full_raster_source_preplan.py --config configs/v12/systemb_b87b3_full_raster_source_preplan.yaml,configs/v12/systemb_b87b3_full_raster_source_preplan.yaml,scripts/v12_b87b3_run_full_raster_source_preplan.py,docs/v12/OpenHeat_SystemB_B8_7b3_full_raster_source_preplan_CN.md,outputs/v12_surrogate/b8_7b3_full_raster_source_preplan,outputs/v12_surrogate/b8_7b3_full_raster_source_preplan/B8_7B3_STATUS.md; outputs/v12_surrogate/b8_7b3_full_raster_source_preplan/b87b3_report.md; outputs/v12_surrogate/b8_7b3_full_raster_source_preplan/b87b3_svf_scenario_model.csv,DSM/CDSM/grid locked.; Base SVF locked full-AOI source only.; Overhead requires scenario-specific materialization.,B87B4 materialization could proceed with locked sources.,No raster pixel read.; No raster write/copy/move/symlink in this preplan lane.,QGIS/SOLWEIG run; AOI/B9; WBGT/risk,B8.7b.3p protocol parity then B8.7b.4 materialization.,python scripts/v12_b87b3_run_full_raster_source_preplan.py --config configs/v12/systemb_b87b3_full_raster_source_preplan.yaml
System B,B8.7b.3p,SOLWEIG protocol parity audit,B87B3P_PASS_WITH_NONFINAL_SMOKE_DIFFERENCES,ACCEPTED_PROTOCOL_PARITY,not recorded,Audit final F5 ML label source against planned B87C protocol before materialization.,python scripts/v12_b87b3p_run_protocol_parity.py --config configs/v12/systemb_b87b3p_solweig_protocol_parity.yaml,configs/v12/systemb_b87b3p_solweig_protocol_parity.yaml,scripts/v12_b87b3p_run_protocol_parity.py,docs/v12/OpenHeat_SystemB_B8_7b3p_SOLWEIG_protocol_parity_CN.md,outputs/v12_surrogate/b8_7b3p_solweig_protocol_parity,outputs/v12_surrogate/b8_7b3p_solweig_protocol_parity/B8_7B3P_STATUS.md; outputs/v12_surrogate/b8_7b3p_solweig_protocol_parity/b87b3p_report.md; outputs/v12_surrogate/b8_7b3p_solweig_protocol_parity/b87b3p_protocol_parity_decision_matrix.csv,"Final ML label source is b85_f5_n150_multiforcing.; Planned B87C protocol compatible.; Nonfinal smoke differences are WARN, not final ML mixing.",B8.7b.4 materialization may proceed with parity assertions.,No QGIS/SOLWEIG.; No run-ready manifest/runner.,AOI/B9; WBGT/risk; raster write,B8.7b.4 materialization package.,python scripts/v12_b87b3p_run_protocol_parity.py --config configs/v12/systemb_b87b3p_solweig_protocol_parity.yaml
System B,B8.7b.4/B87C,materialization / execution package,B87B4_MATERIALIZATION_COMPLETE_READY_FOR_B87C_RUN,ACCEPTED_MATERIALIZATION,not recorded,Materialize local-only B87C assets and prepare N300 new150 run package.,python scripts/v12_b87b4_run_materialization_package.py --config configs/v12/systemb_b87b4_b87c_materialization_package.yaml,configs/v12/systemb_b87b4_b87c_materialization_package.yaml,scripts/v12_b87b4_run_materialization_package.py; scripts/qgis/v12_b87b4_qgis_svf_materialization_runner.py; scripts/qgis/v12_b87c_qgis_solweig_n300_runner.py,docs/v12/OpenHeat_SystemB_B8_7b4_B87C_materialization_execution_package_CN.md,outputs/v12_surrogate/b8_7b4_b87c_materialization_package,outputs/v12_surrogate/b8_7b4_b87c_materialization_package/B8_7B4_B87C_STATUS.md; outputs/v12_surrogate/b8_7b4_b87c_materialization_package/b87b4_b87c_report.md,Local-only asset root ready.; SVF/svfs readiness 300/300.; Manifest row count 3000.,Ready for human/local B87C run; AOI/B9 still blocked.,Local-only raster writes allowed under C:/OpenHeat-local only.; No repo raster writes.,AOI/B9; WBGT/risk; observed truth,B87C full_150 raw SOLWEIG human/local execution and postrun summary.,python scripts/v12_b87b4_run_materialization_package.py --config configs/v12/systemb_b87b4_b87c_materialization_package.yaml
System B,B87C,full_150 raw SOLWEIG,B87C_FULL150_POSTRUN_SUMMARY_PASS,ACCEPTED_RAW_SOLWEIG,not recorded,Record completed B87C full_150 raw SOLWEIG postrun summary.,Human/local QGIS/SOLWEIG execution recorded; devlog does not rerun,configs/v12/systemb_b87b4_b87c_materialization_package.yaml,scripts/v12_b87c_postrun_qa.py,,outputs/v12_surrogate/b8_7b4_b87c_materialization_package/postrun_summary,outputs/v12_surrogate/b8_7b4_b87c_materialization_package/postrun_summary/B87C_FULL150_COMPLETION_NOTE.md,B87C full_150 raw SOLWEIG completed with no missing/empty Tmrt.,Raw SOLWEIG simulated Tmrt source complete for B87D label integration.,SOLWEIG simulated Tmrt only.; Not observed truth.,WBGT; risk; AOI/B9 prediction,B87D N300 label integration.,not_applicable
System B,B87D,N300 label integration,B87D_N300_LABEL_INTEGRATION_PASS,ACCEPTED_LABEL_TABLE,not recorded,Integrate F5 N150 and B87C new150 labels into N300 pairwise delta table.,python scripts/v12_b87d_run_label_integration.py --config configs/v12/systemb_b87d_n300_label_integration.yaml,configs/v12/systemb_b87d_n300_label_integration.yaml,scripts/v12_b87d_run_label_integration.py,docs/v12/OpenHeat_SystemB_B87D_N300_label_integration_CN.md,outputs/v12_surrogate/b87d_n300_label_integration,outputs/v12_surrogate/b87d_n300_label_integration/B87D_STATUS.md; outputs/v12_surrogate/b87d_n300_label_integration/b87d_report.md; outputs/v12_surrogate/b87d_n300_label_integration/b87d_n300_pairwise_delta_by_cell_hour.csv; outputs/v12_surrogate/b87d_n300_label_integration/b87d_n300_label_qa_matrix.csv,N300 label integration passed.; F5/B87C old-new overlap count zero.; Full-tile valid non-nodata extraction convention recovered.,N300 labels are accepted for surrogate benchmarking.,delta is overhead_as_canopy - base.; Not observed truth.,WBGT; hazard map; risk map; causal evidence,B87E N300 surrogate benchmark.,python scripts/v12_b87d_run_label_integration.py --config configs/v12/systemb_b87d_n300_label_integration.yaml
System B,B87E,N300 surrogate benchmark,B87E_SURROGATE_BENCHMARK_PASS_NO_PROMOTION,DIAGNOSTIC_NO_PROMOTION,not recorded,Benchmark N300 surrogate models as emulators of SOLWEIG-derived delta Tmrt labels.,python scripts/v12_b87e_run_surrogate_benchmark.py --config configs/v12/systemb_b87e_n300_surrogate_benchmark.yaml,configs/v12/systemb_b87e_n300_surrogate_benchmark.yaml,scripts/v12_b87e_run_surrogate_benchmark.py,docs/v12/OpenHeat_SystemB_B87E_N300_surrogate_benchmark_CN.md,outputs/v12_surrogate/b87e_n300_surrogate_benchmark,outputs/v12_surrogate/b87e_n300_surrogate_benchmark/B87E_STATUS.md; outputs/v12_surrogate/b87e_n300_surrogate_benchmark/b87e_report.md; outputs/v12_surrogate/b87e_n300_surrogate_benchmark/b87e_model_metrics_summary.csv,Benchmark passed but did not promote.; Extra trees remained candidate baseline.,No AOI/B9 inference authorized; proceed to promotion review/feature patch.,Surrogate of SOLWEIG labels only.; Top-k ranking diagnostic only.,observed truth; WBGT calibration; AOI/B9 inference; risk/hazard map,B87F surrogate patch/promotion review.,python scripts/v12_b87e_run_surrogate_benchmark.py --config configs/v12/systemb_b87e_n300_surrogate_benchmark.yaml
System B,B87F,promotion review,B87F_EXTRA_TREES_REMAINS_CANDIDATE_NO_PROMOTION,DIAGNOSTIC_NO_PROMOTION,not recorded,Review whether B87E extra_trees or patched feature sets can be promoted to AOI preflight.,python scripts/v12_b87f_run_promotion_review.py --config configs/v12/systemb_b87f_n300_surrogate_promotion_review.yaml,configs/v12/systemb_b87f_n300_surrogate_promotion_review.yaml,scripts/v12_b87f_run_promotion_review.py,docs/v12/OpenHeat_SystemB_B87F_N300_surrogate_promotion_review_CN.md,outputs/v12_surrogate/b87f_n300_surrogate_promotion_review,outputs/v12_surrogate/b87f_n300_surrogate_promotion_review/B87F_STATUS.md; outputs/v12_surrogate/b87f_n300_surrogate_promotion_review/b87f_report.md; outputs/v12_surrogate/b87f_n300_surrogate_promotion_review/b87f_model_promotion_review.csv,Extra trees retained but no promotion.; AOI preflight blocked by source gaps and metric gates.,No AOI preflight; go to B87F2 feature patch and true-vector source acquisition.,Surrogate of SOLWEIG Tmrt deltas only.; Feature interpretation non-causal.,AOI/B9 inference; WBGT; risk/hazard; causal feature importance,B87F2 true-vector/proxy feature patch.,python scripts/v12_b87f_run_promotion_review.py --config configs/v12/systemb_b87f_n300_surrogate_promotion_review.yaml
System B,B87F2,true-vector/proxy feature patch,B87F2_FEATURE_PATCH_PARTIAL_NO_AOI,BEST_LOCAL_CHECKPOINT_BLOCKED,not recorded,Test whether compact local true-vector/proxy features improve transfer and ranking before AOI preflight.,python scripts/v12_b87f2_run_true_vector_feature_patch.py --config configs/v12/systemb_b87f2_true_vector_feature_patch.yaml,configs/v12/systemb_b87f2_true_vector_feature_patch.yaml,scripts/v12_b87f2_run_true_vector_feature_patch.py,docs/v12/OpenHeat_SystemB_B87F2_true_vector_feature_patch_CN.md,outputs/v12_surrogate/b87f2_true_vector_feature_patch,outputs/v12_surrogate/b87f2_true_vector_feature_patch/B87F2_STATUS.md; outputs/v12_surrogate/b87f2_true_vector_feature_patch/b87f2_report.md; outputs/v12_surrogate/b87f2_true_vector_feature_patch/b87f2_patched_feature_matrix.csv; outputs/v12_surrogate/b87f2_true_vector_feature_patch/b87f2_aoi_preflight_gate_matrix.csv,Best local-source surrogate checkpoint.; Feature patch improved MAE and rank versus B87F.; AOI remained blocked by connected shade corridor and tree-building source gaps.,Best local-source checkpoint but not AOI-ready.,Some features explicitly proxy-labelled.; Connected shade and true tree/canopy-building sources unresolved.,AOI/B9 inference; WBGT conversion; risk/hazard; causal feature importance,Stop model tuning or external true-vector acquisition.,python scripts/v12_b87f2_run_true_vector_feature_patch.py --config configs/v12/systemb_b87f2_true_vector_feature_patch.yaml
System B,B87G0,final source breakthrough attempt,B87G0_EXTERNAL_SOURCE_REQUIRED,BLOCKED_FINAL_SOURCE_GATE,codex/b87g0-source-breakthrough-attempt,Make the final local-source search and proxy-feature test before stopping model tuning.,python scripts/v12_b87g0_run_source_breakthrough_attempt.py --config configs/v12/systemb_b87g0_source_breakthrough_attempt.yaml,configs/v12/systemb_b87g0_source_breakthrough_attempt.yaml,scripts/v12_b87g0_run_source_breakthrough_attempt.py,docs/v12/OpenHeat_SystemB_B87G0_source_breakthrough_attempt_CN.md,outputs/v12_surrogate/b87g0_source_breakthrough_attempt,outputs/v12_surrogate/b87g0_source_breakthrough_attempt/B87G0_STATUS.md; outputs/v12_surrogate/b87g0_source_breakthrough_attempt/b87g0_report.md; outputs/v12_surrogate/b87g0_source_breakthrough_attempt/b87g0_closure_recommendation.csv; outputs/v12_surrogate/b87g0_source_breakthrough_attempt/b87g0_promotion_stopgo_matrix.csv,Connected shade source remains missing_true_source_proxy_only.; True tree-building source remains missing_true_source_proxy_only.; No meaningful metric breakthrough over B87F2.,Local proxy/source breakthrough exhausted; external source required or close phase.,Proxy features cannot clear true source gates.; AOI gate remains blocked.,AOI/B9 inference; WBGT; risk/hazard/exposure/vulnerability; causal feature importance,EXTERNAL_TRUE_VECTOR_SOURCE_ACQUISITION_OR_CLOSE_PHASE.,python scripts/v12_b87g0_run_source_breakthrough_attempt.py --config configs/v12/systemb_b87g0_source_breakthrough_attempt.yaml
