cell_id,reason_for_possible_replacement,replacement_candidate_1,replacement_candidate_1_reason,replacement_candidate_2,replacement_candidate_2_reason,replacement_candidate_3,replacement_candidate_3_reason,replacement_gap
TP_0018,overhead_semantics_ambiguous,TP_0131,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.234,TP_0090,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.306,TP_0199,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.228,False
TP_0948,overhead_semantics_ambiguous,TP_0131,same primary stratum; 5 shared strata; feature completeness 1.00; feature distance 0.316,TP_0228,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.392,TP_0122,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.412,False
TP_0871,overhead_semantics_ambiguous,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.336,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.358,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.395,False
TP_0592,geographically_isolated_edge_cell,TP_0617,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.206,TP_0131,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.393,TP_0122,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.277,False
TP_0747,nan,TP_0897,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.209,TP_0617,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.262,TP_0347,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.285,False
TP_0133,nan,TP_0617,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.319,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.418,TP_0347,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.332,False
TP_0908,overhead_semantics_ambiguous,TP_0131,same primary stratum; 5 shared strata; feature completeness 1.00; feature distance 0.450,TP_0122,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.367,TP_0090,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.409,False
TP_0218,nan,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.355,TP_0256,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.389,TP_0080,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.422,False
TP_0711,nan,TP_0288,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.230,TP_0945,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.258,TP_0174,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.268,False
TP_0822,overhead_semantics_ambiguous,TP_0373,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.272,TP_0945,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.298,TP_0431,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.336,False
TP_0418,nan,TP_0617,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.328,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.476,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.419,False
TP_0759,nan,TP_0617,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.359,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.452,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.393,False
TP_0066,nan,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.325,TP_0131,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.327,TP_0090,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.350,False
TP_0663,nan,TP_0617,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.384,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.455,TP_0256,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.344,False
TP_0053,overhead_semantics_ambiguous,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.282,TP_0080,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.304,TP_0256,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.321,False
TP_0286,overhead_semantics_ambiguous,TP_0139,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.252,TP_0581,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.416,TP_0373,2 shared strata; feature completeness 1.00; feature distance 0.261,False
TP_0647,nan,TP_0823,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.254,TP_0080,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.262,TP_0090,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.263,False
TP_0108,nan,TP_0347,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.319,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.337,TP_0131,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.347,False
TP_0337,nan,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.304,TP_0347,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.314,TP_0090,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.360,False
TP_0934,nan,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.430,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.449,TP_0256,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.465,False
TP_0600,overhead_semantics_ambiguous,TP_0256,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.396,TP_0881,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.399,TP_0131,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.402,False
TP_0799,nan,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.379,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.341,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.375,False
TP_0817,nan,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.248,TP_0347,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.398,TP_0090,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.403,False
TP_0936,overhead_semantics_ambiguous,TP_0881,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.229,TP_0617,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.269,TP_0823,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.295,False
TP_0710,nan,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.304,TP_0090,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.339,TP_0347,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.368,False
TP_0183,overhead_semantics_ambiguous,TP_0090,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.270,TP_0131,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.312,TP_0122,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.227,False
TP_0670,overhead_semantics_ambiguous,TP_0090,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.345,TP_0131,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.355,TP_0122,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.258,False
TP_0378,overhead_semantics_ambiguous,TP_0431,same primary stratum; 5 shared strata; feature completeness 1.00; feature distance 0.321,TP_0373,same primary stratum; 5 shared strata; feature completeness 1.00; feature distance 0.352,TP_0157,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.296,False
TP_0772,nan,TP_0288,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.241,TP_0174,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.264,TP_0158,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.268,False
TP_0208,nan,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.358,TP_0090,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.360,TP_0131,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.425,False
TP_0285,nan,TP_0256,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.350,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.351,TP_0080,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.360,False
TP_0082,overhead_semantics_ambiguous,TP_0256,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.278,TP_0090,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.348,TP_0228,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.311,False
TP_0718,overhead_semantics_ambiguous,TP_0122,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.326,TP_0881,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.330,TP_0131,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.359,False
TP_0065,nan,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.343,TP_0347,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.377,TP_0131,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.381,False
TP_0023,overhead_semantics_ambiguous,TP_0090,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.330,TP_0131,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.341,TP_0122,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.275,False
TP_0707,geographically_isolated_edge_cell,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.379,TP_0101,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.382,TP_0823,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.386,False
TP_0616,nan,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.249,TP_0352,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.270,TP_0826,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.288,False
TP_0614,nan,TP_0080,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.355,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.371,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.385,False
TP_0114,nan,TP_0122,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.292,TP_0131,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.337,TP_0826,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.374,False
TP_0263,nan,TP_0101,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.242,TP_0262,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.261,TP_0062,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.317,False
TP_0892,nan,TP_0401,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.218,TP_0580,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.233,TP_0897,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.285,False
TP_0166,nan,TP_0256,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.325,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.362,TP_0080,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.388,False
TP_0746,overhead_semantics_ambiguous,TP_0945,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.206,TP_0373,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.226,TP_0157,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.289,False
TP_0365,overhead_semantics_ambiguous,TP_0090,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.313,TP_0131,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.334,TP_0122,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.259,False
TP_0628,nan,TP_0617,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.360,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.433,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.372,False
